File_Name,Formula,Is_Valid,Is_Novel,Raw_Energy_per_Atom,Relaxed_Energy_per_Atom,Energy_Drop,Physically_Plausible,E_Above_Hull,Novel_And_Plausible,Internal_Duplicate
run_6.cif,CoOsPd2,True,True,-6.996794700622559,-6.996794700622559,0.0,True,0.09658486437744074,True,False
run_7.cif,MnP2,True,True,-7.101603984832764,-7.101603825887044,-1.5894571969710114e-07,False,,False,False
runn_19.cif,BaVTc2,True,True,-5.665380477905273,-5.665380477905273,0.0,True,,True,False
runn_31.cif,ZnBP2,True,True,-3.7926509380340576,-3.7926509380340576,0.0,True,1.0945430436912025,True,False
runn_25.cif,ZnAsBr2,True,True,-2.669776678085327,-2.669776678085327,0.0,True,0.48710972691467314,True,False
run_20.cif,Co2SbOs,True,True,-5.5451884269714355,-5.5451884269714355,0.0,True,1.7637096661535638,True,False
run_22.cif,Tl2SnB,True,True,-3.2533340454101562,-3.2533340454101562,0.0,True,,True,False
runn_8.cif,ZnCr2Hg,True,True,-4.361881732940674,-4.361882209777832,4.76837158203125e-07,True,0.7221939168888349,True,False
runn_33.cif,YMnTc,True,True,-8.410204887390137,-8.410205841064453,9.5367431640625e-07,False,,False,False
runn_27.cif,AlSnHg,True,True,-0.3994762897491455,-0.3994762897491455,0.0,True,2.255353804139743,True,False
runn_148.cif,BeAlP,True,True,-4.416651248931885,-4.4166514078776045,1.5894571969710114e-07,True,0.0,True,False
run_5.cif,MnGaCoRe,True,True,-7.795266151428223,-7.795266151428223,0.0,False,,False,False
run_4.cif,TaAgRh2,True,True,-7.7001495361328125,-7.7001495361328125,0.0,False,,False,False
runn_149.cif,FeCuAg2,True,True,-3.9764819145202637,-3.9764819145202637,0.0,True,0.5456848236047369,True,False
runn_26.cif,LiCrGaO3,True,True,-6.998183727264404,-6.998183568318685,-1.5894571969710114e-07,True,,True,False
runn_32.cif,MnAlW2,True,True,-9.670979499816895,-9.670979499816895,0.0,False,,False,False
runn_9.cif,Be2ZnBr,True,True,-2.449530601501465,-2.449530601501465,0.0,True,0.5870961622485353,True,False
run_23.cif,ZnFeP2,True,True,-5.100423812866211,-5.100423812866211,0.0,True,0.34998053997233125,True,False
runn_69.cif,GaAs,True,True,-3.9688985347747803,-3.9688985347747803,0.0,True,,True,False
runn_55.cif,Sr2BeSi,True,True,-2.9020073413848877,-2.9020071029663086,-2.384185791015625e-07,True,0.4303538257836914,True,False
runn_41.cif,NbAsP2,True,True,-6.371851444244385,-6.371851444244385,0.0,True,0.3348269120681149,True,False
runn_82.cif,KCoRh2,True,True,-5.388491153717041,-5.388491630554199,4.76837158203125e-07,True,0.30830084725830087,True,False
runn_112.cif,CuSiPd2,True,True,-4.792572498321533,-4.792572498321533,0.0,True,0.44394124802767365,True,False
runn_107.cif,TiP2Pt,True,True,-6.842077255249023,-6.842077255249023,0.0,True,0.0,True,False
runn_113.cif,YGeAu,True,True,-5.61146354675293,-5.61146354675293,0.0,True,,True,False
runn_83.cif,LaTiZnCd,True,True,-3.76013445854187,-3.76013445854187,0.0,True,,True,False
runn_97.cif,VAsCl,True,True,-6.1125874519348145,-6.112587610880534,1.5894571969710114e-07,True,0.0,True,False
runn_40.cif,K2CoSi,True,True,-2.949009418487549,-2.949009418487549,0.0,True,0.9132453833874514,True,False
runn_54.cif,TiFePd,True,True,-6.647866725921631,-6.647866566975911,-1.5894571969710114e-07,True,0.9027784356282558,True,False
runn_68.cif,FeCuNiPd,True,True,-1.7946069240570068,-1.7946069240570068,0.0,True,4.167682522014422,True,False
runn_42.cif,Li2Cu2SbTe4,True,True,-3.6746110916137695,-3.6746109856499567,-1.0596381283534129e-07,True,0.004320121100885643,True,False
runn_56.cif,Zn5Fe3,True,True,-3.8687307834625244,-3.8687307834625244,0.0,True,0.12183540841247575,True,False
runn_81.cif,Rb2CeMn,True,True,-3.278815269470215,-3.278815269470215,0.0,True,0.9150071892797857,True,False
